(0,4)(0,9)(0,9), 10, 10, 1.0, 10, 5, 5
(0,4)(4,5)(4,5), 30, 6, 3.0, 30, 5, 5
(4,0)(0,5)(4,5), 30, 6, 3.0, 30, 5, 5
(4,0)(4,1)(4,1), 10, 2, 1.0, 10, 5, 5
(0,4)(2,6)(2,6), 21, 7, 1.5, 21, 5, 9
(0,4)(2,6)(2,6), 21, 7, 1.5, 21, 5, 9
(0,4)(2,6)(2,6), 21, 7, 1.5, 21, 5, 9
(0,4)(2,7)(2,7), 24, 8, 1.7142857, 24, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(0,4)(2,7)(2,7), 24, 8, 1.7142857, 24, 5, 9
(0,4)(2,5)(2,5), 18, 6, 1.2857143, 18, 5, 9
(0,4)(2,6)(2,6), 21, 7, 1.5, 21, 5, 9
(0,4)(2,6)(2,6), 21, 7, 1.5, 21, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(4,0)(2,3)(4,3), 20, 4, 1.4285715, 20, 5, 9
(0,4)(3,6)(3,6), 28, 7, 2.1538463, 28, 5, 8
(0,4)(1,8)(1,8), 18, 9, 1.3846154, 18, 5, 8
(0,4)(3,5)(3,5), 24, 6, 1.8461539, 24, 5, 8
(0,4)(1,8)(1,8), 18, 9, 1.3846154, 18, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
(0,4)(3,6)(3,6), 28, 7, 2.1538463, 28, 5, 8
(0,4)(1,5)(1,5), 12, 6, 0.9230769, 12, 5, 8
(0,4)(3,6)(3,6), 28, 7, 2.1538463, 28, 5, 8
(0,4)(1,8)(1,8), 18, 9, 1.3846154, 18, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
|122         |
|1 2         |
|1 2         |
|1 2         |
|1           |
||
hullWiseBuildings: (min:0.9230769, idxMin:1, frequency:1)
roadWiseBuildings: (min:3.0, idxMin:4, frequency:2)
(0,4)(2,6)(2,6), 21, 7, 1.9090909, 21, 5, 6
(0,4)(1,6)(1,6), 14, 7, 1.2727273, 14, 5, 6
(0,4)(2,6)(2,6), 21, 7, 1.9090909, 21, 5, 6
(0,4)(1,7)(1,7), 16, 8, 1.4545455, 16, 5, 6
(4,0)(2,2)(4,2), 15, 3, 1.3636364, 15, 5, 6
(4,0)(1,3)(4,3), 20, 4, 1.8181819, 20, 5, 6
(4,0)(2,2)(4,2), 15, 3, 1.3636364, 15, 5, 6
(4,0)(1,3)(4,3), 20, 4, 1.8181819, 20, 5, 6
(0,4)(2,6)(2,6), 21, 7, 1.9090909, 21, 5, 6
(0,4)(1,7)(1,7), 16, 8, 1.4545455, 16, 5, 6
(0,4)(2,5)(2,5), 18, 6, 1.6363636, 18, 5, 6
(0,4)(1,7)(1,7), 16, 8, 1.4545455, 16, 5, 6
(4,0)(2,2)(4,2), 15, 3, 1.3636364, 15, 5, 6
(4,0)(1,3)(4,3), 20, 4, 1.8181819, 20, 5, 6
(4,0)(2,2)(4,2), 15, 3, 1.3636364, 15, 5, 6
(4,0)(1,3)(4,3), 20, 4, 1.8181819, 20, 5, 6
(0,4)(3,5)(3,5), 24, 6, 1.8461539, 24, 5, 8
(0,4)(1,8)(1,8), 18, 9, 1.3846154, 18, 5, 8
(0,4)(3,5)(3,5), 24, 6, 1.8461539, 24, 5, 8
(0,4)(1,8)(1,8), 18, 9, 1.3846154, 18, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
(4,0)(3,2)(4,2), 15, 3, 1.1538461, 15, 5, 8
(4,0)(1,4)(4,4), 25, 5, 1.9230769, 25, 5, 8
